label	list_id	aspect	n_truth	n_trans	wang_bma	ref	method	evset	category	namespace	recall	track	clade	median_pident
astyanax.rbh.all	SYN_GO0003341	BP	50	50	0.8934682092432521	astyanax	rbh	all	other	biological_process	0.4647887323943662	fish	fish	76.5
astyanax.rbh.all	SYN_GO0003676	BP	50	50	0.8895640478111702	astyanax	rbh	all	other	molecular_function	0.4936170212765957	fish	fish	76.5
astyanax.rbh.all	SYN_GO0003677	BP	50	50	0.8729317019314331	astyanax	rbh	all	other	molecular_function	0.4588744588744589	fish	fish	76.5
astyanax.rbh.all	SYN_GO0003700	BP	50	50	0.8483905896334989	astyanax	rbh	all	other	molecular_function	0.4873949579831932	fish	fish	76.5
astyanax.rbh.all	SYN_GO0003824	BP	50	50	0.7440984482533751	astyanax	rbh	all	other	molecular_function	0.3333333333333333	fish	fish	76.5
astyanax.rbh.all	SYN_GO0004888	BP	36	50	0.7435140605532496	astyanax	rbh	all	other	molecular_function	0.4444444444444444	fish	fish	76.5
astyanax.rbh.all	SYN_GO0004930	BP	27	50	0.6717970271133424	astyanax	rbh	all	other	molecular_function	0.2962962962962963	fish	fish	76.5
astyanax.rbh.all	SYN_GO0005215	BP	29	50	0.7795177068842281	astyanax	rbh	all	other	molecular_function	0.6551724137931034	fish	fish	76.5
astyanax.rbh.all	SYN_GO0005216	BP	19	50	0.7027930440792888	astyanax	rbh	all	other	molecular_function	0.5789473684210527	fish	fish	76.5
astyanax.rbh.all	SYN_GO0005634	BP	50	50	0.8402224622760494	astyanax	rbh	all	other	cellular_component	0.5074626865671642	fish	fish	76.5
astyanax.rbh.all	SYN_GO0005737	BP	50	50	0.6200801260987034	astyanax	rbh	all	other	cellular_component	0.1721854304635761	fish	fish	76.5
astyanax.rbh.all	SYN_GO0005856	BP	50	44	0.8420124433728995	astyanax	rbh	all	other	cellular_component	0.3604651162790697	fish	fish	76.5
astyanax.rbh.all	SYN_GO0005886	BP	50	50	0.7301782755303949	astyanax	rbh	all	other	cellular_component	0.1979166666666666	fish	fish	76.5
astyanax.rbh.all	SYN_GO0005929	BP	50	50	0.8137715036777672	astyanax	rbh	all	other	cellular_component	0.3541666666666667	fish	fish	76.5
astyanax.rbh.all	SYN_GO0006139	BP	50	50	0.8382711263395646	astyanax	rbh	all	conserved	biological_process	0.35	fish	fish	76.5
astyanax.rbh.all	SYN_GO0006355	BP	50	50	0.8686777998059857	astyanax	rbh	all	other	biological_process	0.3744075829383886	fish	fish	76.5
astyanax.rbh.all	SYN_GO0006396	BP	50	50	0.850761455110395	astyanax	rbh	all	conserved	biological_process	0.4477611940298507	fish	fish	76.5
astyanax.rbh.all	SYN_GO0006629	BP	45	50	0.7414577121495471	astyanax	rbh	all	conserved	biological_process	0.5111111111111111	fish	fish	76.5
astyanax.rbh.all	SYN_GO0006811	BP	40	50	0.7917080760828453	astyanax	rbh	all	other	biological_process	0.675	fish	fish	76.5
astyanax.rbh.all	SYN_GO0007049	BP	50	50	0.8454798763563025	astyanax	rbh	all	conserved	biological_process	0.3533834586466165	fish	fish	76.5
astyanax.rbh.all	SYN_GO0007369	BP	50	50	0.7817409468934204	astyanax	rbh	all	specific	biological_process	0.2714285714285714	fish	fish	76.5
astyanax.rbh.all	SYN_GO0007600	BP	50	42	0.7873449251024859	astyanax	rbh	all	specific	biological_process	0.3066666666666666	fish	fish	76.5
astyanax.rbh.all	SYN_GO0007626	BP	50	24	0.670863172423485	astyanax	rbh	all	specific	biological_process	0.2539682539682539	fish	fish	76.5
astyanax.rbh.all	SYN_GO0008283	BP	50	50	0.7205701137713783	astyanax	rbh	all	other	biological_process	0.1530054644808743	fish	fish	76.5
astyanax.rbh.all	SYN_GO0008324	BP	21	50	0.6898686524688191	astyanax	rbh	all	other	molecular_function	0.8095238095238095	fish	fish	76.5
astyanax.rbh.all	SYN_GO0009056	BP	50	37	0.6919594253823831	astyanax	rbh	all	conserved	biological_process	0.1733333333333333	fish	fish	76.5
astyanax.rbh.all	SYN_GO0009058	BP	50	50	0.8735639438966044	astyanax	rbh	all	conserved	biological_process	0.3359375	fish	fish	76.5
astyanax.rbh.all	SYN_GO0009059	BP	50	50	0.896654339522278	astyanax	rbh	all	conserved	biological_process	0.3592233009708738	fish	fish	76.5
astyanax.rbh.all	SYN_GO0009605	BP	50	50	0.7091707104563563	astyanax	rbh	all	other	biological_process	0.5934959349593496	fish	fish	76.5
astyanax.rbh.all	SYN_GO0009889	BP	50	50	0.8330426807468692	astyanax	rbh	all	other	biological_process	0.3524590163934426	fish	fish	76.5
astyanax.rbh.all	SYN_GO0010467	BP	50	50	0.8309599116570626	astyanax	rbh	all	conserved	biological_process	0.2727272727272727	fish	fish	76.5
astyanax.rbh.all	SYN_GO0012505	BP	50	28	0.6960356220750311	astyanax	rbh	all	other	cellular_component	0.2641509433962264	fish	fish	76.5
astyanax.rbh.all	SYN_GO0015075	BP	27	50	0.69612195904355	astyanax	rbh	all	other	molecular_function	0.6666666666666666	fish	fish	76.5
astyanax.rbh.all	SYN_GO0015267	BP	19	50	0.6914243124368095	astyanax	rbh	all	other	molecular_function	0.5263157894736842	fish	fish	76.5
astyanax.rbh.all	SYN_GO0016020	BP	50	50	0.7347778940155447	astyanax	rbh	all	other	cellular_component	0.1893491124260355	fish	fish	76.5
astyanax.rbh.all	SYN_GO0016070	BP	50	50	0.8726278514798522	astyanax	rbh	all	conserved	biological_process	0.3504273504273504	fish	fish	76.5
astyanax.rbh.all	SYN_GO0016477	BP	50	50	0.7642336317251369	astyanax	rbh	all	other	biological_process	0.255125284738041	fish	fish	76.5
astyanax.rbh.all	SYN_GO0016740	BP	28	19	0.6574185491788284	astyanax	rbh	all	other	molecular_function	0.1785714285714285	fish	fish	76.5
astyanax.rbh.all	SYN_GO0016787	BP	28	50	0.7410017890651382	astyanax	rbh	all	other	molecular_function	0.4642857142857143	fish	fish	76.5
astyanax.rbh.all	SYN_GO0019538	BP	50	28	0.73993532438171	astyanax	rbh	all	conserved	biological_process	0.2884615384615384	fish	fish	76.5
astyanax.rbh.all	SYN_GO0022402	BP	50	50	0.8420209944316803	astyanax	rbh	all	conserved	biological_process	0.3092105263157895	fish	fish	76.5
astyanax.rbh.all	SYN_GO0022803	BP	19	50	0.6914243124368095	astyanax	rbh	all	other	molecular_function	0.5263157894736842	fish	fish	76.5
astyanax.rbh.all	SYN_GO0022836	BP	18	50	0.7028472446315431	astyanax	rbh	all	other	molecular_function	0.6666666666666666	fish	fish	76.5
astyanax.rbh.all	SYN_GO0022857	BP	30	50	0.7745236670205935	astyanax	rbh	all	other	molecular_function	0.6333333333333333	fish	fish	76.5
astyanax.rbh.all	SYN_GO0023051	BP	50	50	0.8246542577133554	astyanax	rbh	all	other	biological_process	0.2506963788300835	fish	fish	76.5
astyanax.rbh.all	SYN_GO0023056	BP	50	23	0.8948970406114972	astyanax	rbh	all	other	biological_process	0.078125	fish	fish	76.5
astyanax.rbh.all	SYN_GO0030029	BP	50	50	0.8707432886283442	astyanax	rbh	all	other	biological_process	0.4545454545454545	fish	fish	76.5
astyanax.rbh.all	SYN_GO0030036	BP	50	50	0.8707432886283442	astyanax	rbh	all	other	biological_process	0.4597701149425287	fish	fish	76.5
astyanax.rbh.all	SYN_GO0030218	BP	40	14	0.5859793580306584	astyanax	rbh	all	specific	biological_process	0.15	fish	fish	76.5
