label	list_id	aspect	n_truth	n_trans	wang_bma	ref	method	evset	track	clade	median_pident	My	recall
amphioxus.rbh.all	SYN_GO0009058	MF	6	10	0.7814494990763433	amphioxus	rbh	all	fish	fish	50.6	650	0.6666666666666666
amphioxus.rbh.all	SYN_GO0009059	BP	50	50	0.9393708122608352	amphioxus	rbh	all	fish	fish	50.6	650	0.3398058252427184
amphioxus.rbh.all	SYN_GO0009059	CC	19	9	0.6615505749544128	amphioxus	rbh	all	fish	fish	50.6	650	0.1578947368421052
amphioxus.rbh.all	SYN_GO0009059	MF	5	14	0.8647389800725408	amphioxus	rbh	all	fish	fish	50.6	650	1.0
amphioxus.rbh.all	SYN_GO0009605	BP	50	18	0.6600482385439888	amphioxus	rbh	all	fish	fish	50.6	650	0.1056910569105691
amphioxus.rbh.all	SYN_GO0009605	CC	1	10	0.3227981342441089	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0009605	MF	7	0	0.0	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0009889	BP	50	50	0.9298363619831188	amphioxus	rbh	all	fish	fish	50.6	650	0.2254098360655737
amphioxus.rbh.all	SYN_GO0009889	CC	19	7	0.8265991200334398	amphioxus	rbh	all	fish	fish	50.6	650	0.3157894736842105
amphioxus.rbh.all	SYN_GO0009889	MF	22	25	0.8017575477148958	amphioxus	rbh	all	fish	fish	50.6	650	0.6363636363636364
amphioxus.rbh.all	SYN_GO0010467	BP	50	50	0.9068603478313284	amphioxus	rbh	all	fish	fish	50.6	650	0.3333333333333333
amphioxus.rbh.all	SYN_GO0010467	CC	20	21	0.7733921232125945	amphioxus	rbh	all	fish	fish	50.6	650	0.35
amphioxus.rbh.all	SYN_GO0010467	MF	8	7	0.8751168666470494	amphioxus	rbh	all	fish	fish	50.6	650	0.625
amphioxus.rbh.all	SYN_GO0012505	BP	50	2	0.1565623997159488	amphioxus	rbh	all	fish	fish	50.6	650	0.0
amphioxus.rbh.all	SYN_GO0012505	CC	20	8	0.8235491301610037	amphioxus	rbh	all	fish	fish	50.6	650	0.3
amphioxus.rbh.all	SYN_GO0015075	BP	27	50	0.7528013207596884	amphioxus	rbh	all	fish	fish	50.6	650	0.6666666666666666
amphioxus.rbh.all	SYN_GO0015075	CC	11	19	0.8597433182822191	amphioxus	rbh	all	fish	fish	50.6	650	0.7272727272727273
amphioxus.rbh.all	SYN_GO0015075	MF	50	50	0.8491283117419492	amphioxus	rbh	all	fish	fish	50.6	650	0.5882352941176471
amphioxus.rbh.all	SYN_GO0015267	BP	19	40	0.7706210362522059	amphioxus	rbh	all	fish	fish	50.6	650	0.6842105263157895
amphioxus.rbh.all	SYN_GO0015267	CC	8	19	0.87015154999648	amphioxus	rbh	all	fish	fish	50.6	650	0.875
amphioxus.rbh.all	SYN_GO0015267	MF	48	42	0.8156588158703351	amphioxus	rbh	all	fish	fish	50.6	650	0.5208333333333334
amphioxus.rbh.all	SYN_GO0016020	BP	50	39	0.7324824485603136	amphioxus	rbh	all	fish	fish	50.6	650	0.1301775147928994
amphioxus.rbh.all	SYN_GO0016020	CC	29	17	0.7357125361592401	amphioxus	rbh	all	fish	fish	50.6	650	0.2413793103448276
amphioxus.rbh.all	SYN_GO0016020	MF	40	25	0.7719855586729293	amphioxus	rbh	all	fish	fish	50.6	650	0.375
amphioxus.rbh.all	SYN_GO0016070	BP	50	50	0.9443638022891088	amphioxus	rbh	all	fish	fish	50.6	650	0.3333333333333333
amphioxus.rbh.all	SYN_GO0016070	CC	20	27	0.8225564823807726	amphioxus	rbh	all	fish	fish	50.6	650	0.55
amphioxus.rbh.all	SYN_GO0016070	MF	7	11	0.7837950797850178	amphioxus	rbh	all	fish	fish	50.6	650	0.7142857142857143
amphioxus.rbh.all	SYN_GO0016477	BP	50	50	0.6299967651001811	amphioxus	rbh	all	fish	fish	50.6	650	0.082004555808656
amphioxus.rbh.all	SYN_GO0016477	CC	5	9	0.6937450245147952	amphioxus	rbh	all	fish	fish	50.6	650	0.4
amphioxus.rbh.all	SYN_GO0016477	MF	3	24	0.5317474531625526	amphioxus	rbh	all	fish	fish	50.6	650	0.6666666666666666
amphioxus.rbh.all	SYN_GO0016740	BP	28	7	0.6614473849430365	amphioxus	rbh	all	fish	fish	50.6	650	0.1785714285714285
amphioxus.rbh.all	SYN_GO0016740	MF	31	26	0.91094410521764	amphioxus	rbh	all	fish	fish	50.6	650	0.5806451612903226
amphioxus.rbh.all	SYN_GO0016787	BP	28	20	0.73046500379121	amphioxus	rbh	all	fish	fish	50.6	650	0.25
amphioxus.rbh.all	SYN_GO0016787	CC	0	3	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
amphioxus.rbh.all	SYN_GO0016787	MF	27	16	0.8398789126979791	amphioxus	rbh	all	fish	fish	50.6	650	0.4074074074074074
amphioxus.rbh.all	SYN_GO0019538	BP	50	19	0.8366433570986498	amphioxus	rbh	all	fish	fish	50.6	650	0.3461538461538461
amphioxus.rbh.all	SYN_GO0019538	CC	0	2	0.0	amphioxus	rbh	all	fish	fish	50.6	650	
amphioxus.rbh.all	SYN_GO0019538	MF	13	14	0.8264523196771549	amphioxus	rbh	all	fish	fish	50.6	650	0.3846153846153846
amphioxus.rbh.all	SYN_GO0022402	BP	50	50	0.8444721046896371	amphioxus	rbh	all	fish	fish	50.6	650	0.2302631578947368
amphioxus.rbh.all	SYN_GO0022402	CC	6	12	0.9327416137299712	amphioxus	rbh	all	fish	fish	50.6	650	1.0
amphioxus.rbh.all	SYN_GO0022803	BP	19	40	0.7706210362522059	amphioxus	rbh	all	fish	fish	50.6	650	0.6842105263157895
amphioxus.rbh.all	SYN_GO0022803	CC	8	19	0.87015154999648	amphioxus	rbh	all	fish	fish	50.6	650	0.875
