track	ref	clade	method	evset	aspect	ic_bin	wang_bma	recall	f1	n_terms	median_pident
fish	goldfish	fish	besthit	all	BP	shallow		0.3619193278578816	0.41487516955092324	125.15238095238095	87.2
fish	goldfish	fish	besthit	all	CC	mid			0.0	0.0	87.2
fish	goldfish	fish	besthit	all	CC	shallow		0.4518956568499838	0.3415248115199084	10.221052631578948	87.2
fish	goldfish	fish	besthit	all	MF	mid			0.0	0.0	87.2
fish	goldfish	fish	besthit	all	MF	shallow		0.5728540757897149	0.4145161150720427	13.970297029702971	87.2
fish	goldfish	fish	rbh	all	BP	mid			0.0	0.0	87.2
fish	goldfish	fish	rbh	all	BP	shallow		0.3569598691317683	0.41622187344418865	125.15238095238095	87.2
fish	goldfish	fish	rbh	all	CC	mid			0.0	0.0	87.2
fish	goldfish	fish	rbh	all	CC	shallow		0.4062747383623297	0.32399514783013494	10.329787234042554	87.2
fish	goldfish	fish	rbh	all	MF	mid			0.0	0.0	87.2
fish	goldfish	fish	rbh	all	MF	shallow		0.5333700440210895	0.4026310263558784	13.970297029702971	87.2
fish	grasscarp	fish	besthit	all	BP	mid			0.0	0.0	62.4
fish	grasscarp	fish	besthit	all	BP	shallow		0.33877723063141	0.37779189590274237	125.15238095238095	62.4
fish	grasscarp	fish	besthit	all	CC	mid			0.0	0.0	62.4
fish	grasscarp	fish	besthit	all	CC	shallow		0.402145583185501	0.32262789858197155	10.67032967032967	62.4
fish	grasscarp	fish	besthit	all	MF	mid			0.0	0.0	62.4
fish	grasscarp	fish	besthit	all	MF	shallow		0.5567536978645926	0.4016395312285648	14.11	62.4
fish	grasscarp	fish	rbh	all	BP	mid			0.0	0.0	62.4
fish	grasscarp	fish	rbh	all	BP	shallow		0.33457903851899345	0.38560064392595234	125.15238095238095	62.4
fish	grasscarp	fish	rbh	all	CC	mid			0.0	0.0	62.4
fish	grasscarp	fish	rbh	all	CC	shallow		0.3559733032896051	0.3097232625178249	10.78888888888889	62.4
fish	grasscarp	fish	rbh	all	MF	mid			0.0	0.0	62.4
fish	grasscarp	fish	rbh	all	MF	shallow		0.508215786363563	0.3951574785627833	14.852631578947369	62.4
fish	human	fish	besthit	all	BP	mid			0.0	0.0	63.1
