track	clade	ref	aspect	median_pident	wang	recall	n	wang_lo	wang_hi	recall_lo	recall_hi
fish	fish	medaka	CC	70.4	0.5054574711264004	0.43041592285618946	98	0.4368638965414521	0.5792089023430161	0.3576673924229428	0.5026257727122052
fish	fish	medaka	MF	70.4	0.5256726776404137	0.47897420272251606	104	0.4599987494898641	0.5915914707549208	0.41065103989797747	0.5468180380675239
fish	fish	mouse	BP	62.6	0.7381420874375814	0.4812522594832867	105	0.7197771783219841	0.7575806331144774	0.45437860847101436	0.5085483907145134
fish	fish	mouse	CC	62.6	0.49984212843776427	0.42449135690881734	98	0.43954411737461385	0.562553887405279	0.35679033758569834	0.4902037476063475
fish	fish	mouse	MF	62.6	0.5387516317274431	0.5459260352175535	104	0.47795210307728914	0.6017024886892812	0.4693374924858257	0.6141635716546499
fish	fish	salmon	BP	73.1	0.7592917721133338	0.33685112996899846	105	0.7373830729518753	0.780391683446562	0.30506127074978023	0.3685930026679033
fish	fish	salmon	CC	73.1	0.4853541772427078	0.39123043015212533	98	0.4120820768126349	0.5501957406997878	0.3184711579457939	0.46291124131609074
fish	fish	salmon	MF	73.1	0.5427449044751543	0.487008173289319	101	0.4767052080390793	0.6109737619735955	0.4232105260456231	0.5486051358052697
fish	fish	seaurchin	BP	48.1	0.6668933806763465	0.20823899352136022	103	0.6186140478643299	0.7069466152240825	0.1715513528938872	0.24764378381177418
fish	fish	seaurchin	CC	48.1	0.4921755703460811	0.4099126348941226	93	0.41625995118225656	0.569582643826513	0.33256566331790943	0.4882534057137804
fish	fish	seaurchin	MF	48.1	0.49965581450227126	0.35675868122652477	92	0.4285866295720478	0.5741994246697825	0.2942461543409726	0.4203777881672947
fish	fish	sinocyclocheilus	BP	86.7	0.7647290066318154	0.34072108531358664	105	0.7470643023561697	0.781448797498155	0.31167812418489044	0.36798570206951187
fish	fish	sinocyclocheilus	CC	86.7	0.49480958009132653	0.3863977366692734	97	0.4258759087262352	0.5634252245349934	0.3103293725150008	0.45887938289883357
fish	fish	sinocyclocheilus	MF	86.7	0.5435968964543171	0.509127221688905	104	0.4782598544474402	0.6037748226830167	0.44210147416692114	0.5774088941290089
fish	fish	tilapia	BP	71.5	0.756144055274262	0.32556966466422826	105	0.7363144291350704	0.7762930658393509	0.29283893464257704	0.3588911966301142
fish	fish	tilapia	CC	71.5	0.48604443752604626	0.3470515869867396	97	0.4151800920925726	0.553107060378442	0.27616311263986987	0.4186288910814627
fish	fish	tilapia	MF	71.5	0.5173306860512821	0.4605057899755729	104	0.45468218804814636	0.584378068784566	0.3945176895267868	0.5188751207366927
fish	fish	yeast	BP	38.2	0.3612011747184474	0.062434662267972015	59	0.2699697291312874	0.4489155500837998	0.03881420670583541	0.08748197396622724
fish	fish	yeast	CC	38.2	0.34349377538891185	0.10573033813165392	41	0.23552901518122743	0.447379223735315	0.06075277168615983	0.15129822921352526
fish	fish	yeast	MF	38.2	0.2976755093197923	0.12540843549784644	48	0.20803968164415865	0.38380382968496646	0.07148473508286796	0.1874388610972587
fungi	fungi	aspergillus	BP	41.4	0.7846339268139734	0.32184835682579255	120	0.754131997887615	0.8145244234538204	0.28826617407627053	0.3588226806788203
fungi	fungi	aspergillus	CC	41.4	0.7762564366151276	0.41611655931193214	120	0.731486230918076	0.8137894962794094	0.37643934869396334	0.4582604408782155
fungi	fungi	aspergillus	MF	41.4	0.6964376453088104	0.4157777936366937	118	0.6501228603372642	0.7426691460613678	0.3801398959121844	0.45069429259972155
fungi	fungi	c_albicans	BP	45.2	0.8271360477875206	0.40456789672700816	120	0.8035245821308237	0.8482353441930942	0.3755533221337572	0.43838757756536917
fungi	fungi	c_albicans	CC	45.2	0.8287378797416779	0.5127173381319391	119	0.7949609922183233	0.8542200005388407	0.4709863986288353	0.5555881697869006
fungi	fungi	c_albicans	MF	45.2	0.7466284668156208	0.5077070007905392	116	0.7014402549187716	0.788049015146598	0.4687056214030061	0.5427814668730933
fungi	fungi	c_glabrata	BP	58.1	0.786540599169842	0.29630842766986115	120	0.7505170520254533	0.8191143566962324	0.26931536936808015	0.3251141914557582
